id,comment,sentiment
1,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
2,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
3,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
4,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
5,খাবারটি একদমই ভালো ছিল না।,negative
6,সেবাটি একেবারেই সন্তোষজনক ছিল না।,negative
7,আজকের আবহাওয়া চমৎকার।,positive
8,তুমি সময়মতো কাজ করোনি।,negative
9,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
10,"আজকের অভিজ্ঞতাটি একেবারেই সুখকর ছিল না, সারাদিন প্রচণ্ড গরম এবং ট্রাফিক জ্যামের কারণে ভীষণ কষ্ট পেয়েছি।",negative
11,আজকের আবহাওয়া খুব খারাপ।,negative
12,সেবাটি একেবারেই সন্তোষজনক ছিল না।,negative
13,রাত ১০টায় ঘুমাতে যাব।,neutral
14,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
15,তুমি সময়মতো কাজ করোনি।,negative
16,আজ খুব খারাপ লাগছে।,negative
17,আমরা আগামী সপ্তাহে একটি নতুন প্রকল্প শুরু করব এবং এর জন্য আজ মিটিং অনুষ্ঠিত হয়েছে।,neutral
18,সেবাটি একেবারেই সন্তোষজনক ছিল না।,negative
19,আজকের আবহাওয়া খুব খারাপ।,negative
20,"আমি প্রতিদিন সকালে হাঁটতে যাই, যা আমার স্বাস্থ্যের জন্য ভালো এবং মনও ফ্রেশ থাকে।",neutral
21,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
22,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
23,তুমি সময়মতো কাজ করোনি।,negative
24,"আমি প্রতিদিন সকালে হাঁটতে যাই, যা আমার স্বাস্থ্যের জন্য ভালো এবং মনও ফ্রেশ থাকে।",neutral
25,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
26,আজকের দিনটা খুব ভালো লাগছে।,positive
27,শিক্ষকের অনুপ্রেরণায় আমি নতুন জিনিস শিখতে আগ্রহী হয়েছি এবং নিজের লক্ষ্য অর্জনের দিকে এগিয়ে যাচ্ছি।,positive
28,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
29,আজ খুব খারাপ লাগছে।,negative
30,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
31,"বাংলাদেশের গ্রামগুলো এখনও প্রকৃতির সৌন্দর্য ধরে রেখেছে, যেখানে নদী, সবুজ ক্ষেত আর গাছপালা মন ভরে দেয়।",positive
32,আমি নতুন একটি বই কিনেছি।,neutral
33,পরীক্ষাটা খুব কঠিন ছিল।,negative
34,আজ রবিবার।,neutral
35,আমরা ঢাকায় থাকি।,neutral
36,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
37,তুমি সময়মতো কাজ করোনি।,negative
38,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
39,বন্ধুদের সাথে সময় কাটিয়ে খুব ভালো লেগেছে।,positive
40,আজকের আবহাওয়া চমৎকার।,positive
41,পরীক্ষাটা খুব কঠিন ছিল।,negative
42,"আজকের অভিজ্ঞতাটি একেবারেই সুখকর ছিল না, সারাদিন প্রচণ্ড গরম এবং ট্রাফিক জ্যামের কারণে ভীষণ কষ্ট পেয়েছি।",negative
43,ফলাফলে আমি হতাশ।,negative
44,আজকের দিনটা খুব ভালো লাগছে।,positive
45,আমরা ঢাকায় থাকি।,neutral
46,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
47,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
48,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
49,"প্রতিযোগিতার আয়োজন ভালোভাবে করা হয়নি, যার ফলে অংশগ্রহণকারীরা হতাশ এবং অসন্তুষ্ট ছিলেন।",negative
50,ফলাফলে আমি হতাশ।,negative
51,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
52,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
53,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
54,শিক্ষকের অনুপ্রেরণায় আমি নতুন জিনিস শিখতে আগ্রহী হয়েছি এবং নিজের লক্ষ্য অর্জনের দিকে এগিয়ে যাচ্ছি।,positive
55,তোমার সাহায্যের জন্য ধন্যবাদ।,positive
56,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
57,খাবারটি একদমই ভালো ছিল না।,negative
58,আমরা আগামী সপ্তাহে একটি নতুন প্রকল্প শুরু করব এবং এর জন্য আজ মিটিং অনুষ্ঠিত হয়েছে।,neutral
59,"আজকের অভিজ্ঞতাটি একেবারেই সুখকর ছিল না, সারাদিন প্রচণ্ড গরম এবং ট্রাফিক জ্যামের কারণে ভীষণ কষ্ট পেয়েছি।",negative
60,"প্রতিযোগিতার আয়োজন ভালোভাবে করা হয়নি, যার ফলে অংশগ্রহণকারীরা হতাশ এবং অসন্তুষ্ট ছিলেন।",negative
61,আজকের আবহাওয়া চমৎকার।,positive
62,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
63,পরীক্ষার প্রশ্নপত্র অপ্রত্যাশিতভাবে কঠিন ছিল এবং প্রস্তুতি থাকা সত্ত্বেও আমি ভালো করতে পারিনি।,negative
64,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
65,"আজকের দিনটি সাধারণভাবেই কেটেছে, বিশেষ কিছু ঘটেনি তবে ব্যস্ত সময় পার করেছি।",neutral
66,আমরা ঢাকায় থাকি।,neutral
67,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
68,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
69,"বাংলাদেশের গ্রামগুলো এখনও প্রকৃতির সৌন্দর্য ধরে রেখেছে, যেখানে নদী, সবুজ ক্ষেত আর গাছপালা মন ভরে দেয়।",positive
70,তুমি দারুণ কাজ করেছো।,positive
71,আজ খুব খারাপ লাগছে।,negative
72,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
73,আমি নতুন একটি বই কিনেছি।,neutral
74,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
75,আমরা ঢাকায় থাকি।,neutral
76,আমি সকাল ৭টায় উঠেছি।,neutral
77,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
78,"প্রতিযোগিতার আয়োজন ভালোভাবে করা হয়নি, যার ফলে অংশগ্রহণকারীরা হতাশ এবং অসন্তুষ্ট ছিলেন।",negative
79,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
80,রাত ১০টায় ঘুমাতে যাব।,neutral
81,পরীক্ষার প্রশ্নপত্র অপ্রত্যাশিতভাবে কঠিন ছিল এবং প্রস্তুতি থাকা সত্ত্বেও আমি ভালো করতে পারিনি।,negative
82,আমি সকাল ৭টায় উঠেছি।,neutral
83,আমি পরীক্ষায় ভালো ফলাফল করেছি।,positive
84,আমি সকাল ৭টায় উঠেছি।,neutral
85,ট্রাফিক জ্যাম ভয়াবহ।,negative
86,আমি প্রতিদিন চা খাই।,neutral
87,সিনেমাটি বিরক্তিকর ছিল।,negative
